District ID,County Name,Operating Cost Per Student,District Number,School Year,Student Count,State Student Count,Operating Cost,State Operating Cost,State Operating Cost Per Student
1998,DOUGLAS,12863.91,Elkton SD 34,07/01/2005,162,555146,2083953.25,4513950428.60,8131.11
2144,MARION,9530.20,St Paul SD 45,07/01/2004,219,549793,2087113.43,4198534676.94,7636.57
1993,DOUGLAS,8452.64,DAYS CREEK SCH DIST 15,07/01/1999,247,543138,2087802.96,3556941887.40,6548.87
2216,UNION,9417.48,Cove SD 15,07/01/2004,225,549793,2118932.10,4198534676.94,7636.57
2009,GRANT,9461.85,PRAIRIE CITY SCH DIST 4,07/01/2000,224,544245,2119453.33,3796207419.43,6975.18
2214,UNION,7961.38,NORTH POWDER SCH DIST 8J,07/01/2000,268,544245,2133648.89,3796207419.43,6975.18
2006,GILLIAM,11990.89,Condon SD 25J,07/01/2002,178,552161,2134377.81,3889552066.13,7044.24
2113,MALHEUR,7412.17,ADRIAN SCH DIST 61,07/01/1999,288,543138,2134704.26,3556941887.40,6548.87
2203,UMATILLA,9000.49,Echo SD 5,07/01/2004,238,549793,2142117.24,4198534676.94,7636.57
2046,JACKSON,8751.81,Butte Falls SD 91,07/01/2002,245,552161,2144192.39,3889552066.13,7044.24
2046,JACKSON,9207.18,BUTTE FALLS SCH DIST 91,07/01/1999,233,543138,2145273.22,3556941887.40,6548.87
3997,MORROW,13945.69,Ione SD R2,07/01/2006,154,558366,2147635.98,4768933786.70,8540.87
1899,BENTON,10079.66,ALSEA SCH DIST 7J,07/01/2000,214,544245,2157047.10,3796207419.43,6975.18
2061,LAKE,9567.33,North Lake SD 14,07/01/2002,227,552161,2171783.61,3889552066.13,7044.24
2095,LANE,14214.79,Blachly SD 90,07/01/2007,153,561354,2174863.11,5144636555.37,9164.69
1998,DOUGLAS,13610.27,Elkton SD 34,07/01/2004,160,549793,2177643.57,4198534676.94,7636.57
2006,GILLIAM,13426.80,Condon SD 25J,07/01/2004,163,549793,2188568.54,4198534676.94,7636.57
2095,LANE,16718.97,Blachly SD 90,07/01/2008,131,559271,2190185.54,5248233458.10,9384.06
2045,JACKSON,11732.44,Prospect SD 59,07/01/2005,187,555146,2193966.90,4513950428.60,8131.11
2216,UNION,8638.61,Cove SD 15,07/01/2005,254,555146,2194206.84,4513950428.60,8131.11
2009,GRANT,11494.79,Prairie City SD 4,07/01/2002,191,552161,2195505.25,3889552066.13,7044.24
1993,DOUGLAS,8962.01,DAYS CREEK SCH DIST 15,07/01/2000,245,544245,2195692.98,3796207419.43,6975.18
2113,MALHEUR,8164.08,ADRIAN SCH DIST 61,07/01/2000,269,544245,2196138.61,3796207419.43,6975.18
2046,JACKSON,9590.62,Butte Falls SD 91,07/01/2003,229,549169,2196251.37,3970643658.44,7230.28
